 Name,Description,Price,Food?,Drink?,Cantidad,New Property,Food Trucks,Created,Updated
Lejía perfumada con detergente Bosque Verde Limón,"Botella 2 L | 0,50 €/L",1,,,,"{'url':'484633e586c1f09ea8e83a74228e7a1b8c77663fd5c714c92bde0ccb9a7178e4.jpg','size':16190,'width':600,'height':600,'filename':'400f7fe961e1c244ab06cd5e01dc9bfb.jpg'}",,2022-09-15T07:13:03.450Z,2022-09-15T07:13:03.450Z
Lejía ropa blanca denso Bosque Verde,"Botella 2 L | 0,55 €/L",1.1,,,,"{'url':'aa2b7864024a15478ca4d199734eb16190b915949b237acc8bf9c8e3eaa688bd.jpg','size':17602,'width':600,'height':600,'filename':'f05e22df7dedce13629ba0f284588437.jpg'}",,2022-09-15T07:12:42.217Z,2022-09-15T07:12:42.217Z
Lejía con detergente Bosque Verde,"Botella 2 L | 0,50 €/L",1,,,,"{'url':'ae6db3a08f68ade4a78758a893afba292bc16ca549886e311aea26436d4cc5d7.jpg','size':19076,'width':600,'height':600,'filename':'1e6ba2eaf9402a42dfa4e8a053dc88e8.jpg'}",,2022-09-15T07:12:19.293Z,2022-09-15T07:12:19.293Z
Lejía normal Tradicional Bosque Verde,"Botella 2 L | 0,375 €/L",0.75,,,,"{'url':'88dc595ab879bea7721d4df02b82c17c6503697e706aa9ebb4c72bf82c2cfc1d.jpg','size':15733,'width':600,'height':600,'filename':'08774cc4eb549b55b3cfa8fd9604a468.jpg'}",,2022-09-15T07:11:54.723Z,2022-09-15T07:11:54.723Z
Lejía normal Tradicional Bosque Verde,"Garrafa 5 L | 0,30 €/L",1.5,,,,"{'url':'d7f075c5618a27aceef575757d960eb09f09904d2a122e86f597b3fe7560065f.jpg','size':18483,'width':600,'height':600,'filename':'8d8167033476f4026199c9463f1f4204.jpg'}",,2022-09-15T07:11:33.003Z,2022-09-15T07:11:33.003Z
Recambio antihumedad con aromas cítricos Bosque Verde,"Caja 1 ud. | 4,445 €/kg",2,FALSE,FALSE,,"{'url':'ad778f77e103cce498bb0ed8872b03379ae03fb1108d80a8f784b5e06b75e938.jpg','size':30715,'width':600,'height':600,'filename':'917fd6f8b95cb15595ddc8df5b612592.jpg'}",,2022-09-14T15:19:15.197Z,2022-09-15T07:11:04.412Z
Set antihumedad con aromas cítricos Bosque Verde incluye recambio,"1 ud. | 7,00 €/kg",3.15,,,,"{'url':'e84f63738f8b2917118c23fbd72c2cffbabc9ab3f2024f8491c1ae8c1e2a18eb.jpg','size':24012,'width':600,'height':600,'filename':'0f7ea24a52272c5bd634ce000cc16c17.jpg'}",,2022-09-14T15:18:53.278Z,2022-09-14T15:18:53.278Z
Absorbeolores en gel para frigorífico Bosque Verde,"Paquete 1 ud. | 4,50 €/100 g",1.8,,,,"{'url':'f3129b266062c875e18aa3f4f8395174bad9c98a021d29dbbb4c98bd4ef23216.jpg','size':28371,'width':600,'height':600,'filename':'50989fc13967db4f9e58a578e97ed579.jpg'}",,2022-09-14T15:18:31.678Z,2022-09-14T15:18:31.678Z
Absorbeolores Flores Blancas Bosque Verde,"1 ud. | 4,334 €/kg",0.65,,,,"{'url':'afe163b817c3ef18a99fd944add513ab88d950f00dd475b32f6b7afce57476c7.jpg','size':20821,'width':600,'height':600,'filename':'f03b1df839a6f61a59ab03a3bd1efd60.jpg'}",,2022-09-14T15:18:11.642Z,2022-09-14T15:18:11.642Z
Lote Calm & Relax Flor de Mayo contiene eau de parfum 50 ml y vela perfumada,"Caja 1 ud. | 4,50 €/ud",4.5,,,,"{'url':'872d57ed884179362aab7ceb01cbf67969d162adc813c5c26c93fbda675a6073.jpg','size':12088,'width':600,'height':600,'filename':'7b183cf6fc419671e5b8ae62611cbf7b (1).jpg'}",,2022-09-14T15:17:49.031Z,2022-09-14T15:17:49.031Z
