 Name,Description,Price,tipo
Mousse +Proteínas sabor chocolate Hacendado 20 g proteínas,"Bote 200 g | 6,75 €/kg",1.35, Comida_Cena Entre_horas
Tocino de cielo Hacendado,"2 ud. x 100 g | 5,75 €/kg",1.15, Entre_horas
Arroz con leche Hacendado,"Tarrina 450 g | 2,778 €/kg",1.25, Desayuno Comida_Cena
Cuajada Danone,"2 ud. x 135 g | 5,149 €/kg",1.39, Desayuno
Crema catalana Hacendado,"4 ud. x 100 g | 5,125 €/kg",2.05, Desayuno
Coulant de chocolate Hacendado,"2 ud. (180 g) | 10,556 €/kg",1.9, Comida_Cena Entre_horas
Copa de avellana Hacendado,"2 ud. x 175 g | 3,143 €/kg",1.1, Entre_horas
Tarta de queso Hacendado,"Tarrina 180 g | 8,889 €/kg",1.6, Desayuno Comida_Cena Entre_horas
Cheesecake con arándanos Hacendado,"2 ud. x 95 g | 7,895 €/kg",1.5, Desayuno Entre_horas
Cuajada Hacendado,"4 ud. x 125 g | 2,10 €/kg",1.05, Desayuno
Panna Cotta con caramelo Hacendado,"4 ud. x 100 g | 3,00 €/kg",1.2, Comida_Cena Entre_horas
Yogur azucarado YogoMix Bolitas Hacendado con bolitas chocolateadas,"2 ud. x 150 g | 3,50 €/kg",1.05, Desayuno
"Yogur azucarado YogoMix Hacendado variado de copos maíz, bolitas y disquitos chocolateados","6 ud. x 150 g | 3,445 €/kg",3.1, Desayuno
Tiramisú Hacendado,"2 ud. x 90 g | 6,945 €/kg",1.25, Comida_Cena
Mousse de chocolate Hacendado,"4 ud. x 62,5 g | 3,20 €/kg",0.8, Comida_Cena Entre_horas
Arroz con leche Hacendado,"4 ud. x 130 g | 2,308 €/kg",1.2, Desayuno Comida_Cena
"Gelatina 0% azúcar sabores fresa, multifrutas y limón Hacendado Gellytina","6 ud. x 100 g | 1,584 €/kg",0.95, Desayuno Comida_Cena Entre_horas
Gelatina +Proteínas sabor a frutos silvestres Hacendado 0% m.g 6 g proteínas,"4 ud. x 100 g | 2,75 €/kg",1.1, Comida_Cena
"Gelatina sabores limón, multifrutas y naranja Hacendado Gellytina","6 ud. x 100 g | 1,334 €/kg",0.8, Desayuno Comida_Cena
Gelatina 0% azúcar sabor fresa Hacendado Gellytina,"6 ud. x 100 g | 1,584 €/kg",0.95, Desayuno Comida_Cena Entre_horas
Gelatina sabor fresa Hacendado Gellytina,"6 ud. x 100 g | 1,334 €/kg",0.8, Desayuno Comida_Cena
Natillas de chocolate Danet Danone,"4 ud. x 120 g | 4,771 €/kg",2.29, Desayuno Comida_Cena Entre_horas
Natillas de vainilla Danet Danone,"4 ud. x 120 g | 4,771 €/kg",2.29, Desayuno
Natillas de chocolate con leche Hacendado,"4 ud. x 125 g | 1,60 €/kg",0.8, Desayuno Comida_Cena Entre_horas
